Date,Price,Open,High,Low,Price_Rate,Open_Rate,High_Rate,Low_Rate,Price_MA,Open_MA,High_MA,Low_MA,Price_Rate_MA,Open_Rate_MA,High_Rate_MA,Low_Rate_MA,Next Day Average
5/26/2006,1.2732,1.2807,1.2837,1.27,-0.005623243,0.003998119,0.001326053,-0.003687142,1.27636,1.275835,1.28291,1.269505,0.000628575,0.000758421,0.000604222,0.000616576,1.2743
5/29/2006,1.2751,1.2733,1.277,1.2718,0.001492303,-0.00577809,-0.005219288,0.001417323,1.27719,1.27636,1.2833,1.27032,0.000671761,0.000431595,0.000313046,0.000656613,1.28185
5/30/2006,1.2873,1.2749,1.2912,1.274,0.009567877,0.001256577,0.011119812,0.001729832,1.27848,1.27721,1.284515,1.27123,0.001030965,0.000688438,0.000959645,0.000731158,1.28475
5/31/2006,1.281,1.2873,1.2904,1.2803,-0.004893964,0.009726253,-0.000619579,0.004945055,1.27933,1.278505,1.28568,1.272295,0.000687179,0.001035629,0.000920773,0.000851002,1.279175
6/1/2006,1.2809,1.2811,1.2826,1.2721,-7.8064E-05,-0.004816282,-0.006044637,-0.006404749,1.279905,1.2794,1.286185,1.273045,0.000469668,0.000723466,0.000405456,0.000606221,1.2865
6/2/2006,1.2915,1.2809,1.2941,1.2795,0.008275431,-0.000156116,0.008966162,0.005817153,1.28087,1.27999,1.287055,1.27366,0.000773151,0.000482126,0.000688735,0.00049536,1.29295
6/5/2006,1.2905,1.2932,1.2981,1.29,-0.000774293,0.009602623,0.003090951,0.008206331,1.281865,1.280955,1.288015,1.2747,0.00079732,0.000773147,0.000757123,0.000826763,1.28675
6/6/2006,1.2819,1.2906,1.2938,1.2807,-0.006664084,-0.002010517,-0.003312534,-0.007209302,1.282155,1.28195,1.28878,1.275435,0.000247682,0.00079822,0.000607134,0.000592361,1.28035
6/7/2006,1.2789,1.2826,1.2839,1.276,-0.002340276,-0.006198667,-0.007651878,-0.003669868,1.28216,1.28228,1.28881,1.275485,2.48776E-05,0.00027974,3.68204E-05,5.34175E-05,1.2719
6/8/2006,1.265,1.279,1.281,1.2626,-0.010868715,-0.002806799,-0.002258743,-0.010501567,1.281245,1.28231,1.28849,1.27519,-0.000694504,4.53563E-05,-0.000235861,-0.000216759,1.264325
6/9/2006,1.2641,1.2652,1.2685,1.2595,-0.000711462,-0.010789679,-0.009758002,-0.002455251,1.279805,1.28139,1.287125,1.27402,-0.001104113,-0.000697507,-0.00105,-0.000907121,1.260525
6/12/2006,1.2583,1.2619,1.2653,1.2566,-0.004588245,-0.002608283,-0.002522665,-0.002302501,1.278745,1.279755,1.285525,1.27296,-0.000815311,-0.001256403,-0.001234013,-0.000823478,1.2569
6/13/2006,1.2543,1.2584,1.262,1.2529,-0.003178892,-0.002773595,-0.002608077,-0.002944453,1.277155,1.27869,1.28427,1.27176,-0.001232168,-0.000819616,-0.000971292,-0.000935484,1.2582
6/14/2006,1.2603,1.2542,1.265,1.2533,0.004783545,-0.003337572,0.002377179,0.000319259,1.2765,1.2771,1.282905,1.270915,-0.00049925,-0.001232646,-0.001054438,-0.000657166,1.261925
6/15/2006,1.2635,1.2602,1.266,1.258,0.002539078,0.004783926,0.000790514,0.0037501,1.275375,1.276425,1.281885,1.27021,-0.000867035,-0.000515223,-0.000786637,-0.000544453,1.2643
6/16/2006,1.2642,1.2636,1.2676,1.2618,0.000554017,0.002697984,0.001263823,0.003020668,1.27473,1.275355,1.280915,1.26983,-0.0004933,-0.000823913,-0.000746767,-0.000287296,1.260675
6/19/2006,1.2572,1.2649,1.2655,1.2551,-0.005537099,0.001028807,-0.001656674,-0.005309875,1.27323,1.274785,1.279755,1.269115,-0.001165582,-0.000433951,-0.000895646,-0.000552789,1.257875
6/20/2006,1.2583,1.2575,1.2619,1.2538,0.00087496,-0.005850265,-0.002844725,-0.001035774,1.27205,1.27333,1.27845,1.26778,-0.000915961,-0.001129975,-0.001010723,-0.001041793,1.262375
6/21/2006,1.2658,1.258,1.268,1.2577,0.005960423,0.000397614,0.004833981,0.003110544,1.271585,1.272155,1.27738,1.26702,-0.000352708,-0.000911897,-0.000823371,-0.000589506,1.26175
6/22/2006,1.2577,1.2662,1.2681,1.255,-0.006399115,0.006518283,7.88644E-05,-0.002146776,1.27045,1.271685,1.276685,1.266035,-0.000880491,-0.000355784,-0.000532473,-0.00076755,1.253875
6/23/2006,1.2509,1.2574,1.2594,1.2478,-0.005406695,-0.006949929,-0.006860658,-0.005737052,1.269335,1.27052,1.27547,1.264925,-0.000869664,-0.000903186,-0.000941809,-0.000870045,1.255075
6/26/2006,1.2587,1.251,1.2605,1.2501,0.00623551,-0.005089868,0.000873432,0.001843244,1.268515,1.269405,1.274645,1.26384,-0.000632503,-0.000868775,-0.000637173,-0.000848749,1.2587
6/27/2006,1.2583,1.2584,1.262,1.2561,-0.000317788,0.005915268,0.001190004,0.004799616,1.267065,1.26858,1.273185,1.262945,-0.001126786,-0.000635841,-0.001133663,-0.00069526,1.255875
6/28/2006,1.2555,1.2578,1.2586,1.2516,-0.002225225,-0.000476796,-0.002694136,-0.003582517,1.26579,1.267105,1.271595,1.26151,-0.000993349,-0.001145993,-0.001237391,-0.001121639,1.25995
6/29/2006,1.266,1.2553,1.2668,1.2517,0.008363202,-0.001987597,0.006515176,7.98977E-05,1.265045,1.265815,1.270805,1.26049,-0.000571286,-0.001004559,-0.0006094,-0.000797406,1.27255
6/30/2006,1.2786,1.2665,1.2796,1.2655,0.009952607,0.00892217,0.0101042,0.011025006,1.2644,1.265095,1.27008,1.25979,-0.000487427,-0.000550645,-0.000552498,-0.000537014,1.27915
7/3/2006,1.2795,1.2786,1.2824,1.2761,0.000703895,0.009553889,0.002188184,0.008376136,1.26385,1.264365,1.269295,1.259095,-0.000413518,-0.000553081,-0.000597637,-0.000528523,1.27995
7/4/2006,1.2793,1.2797,1.2824,1.2784,-0.000156311,0.000860316,0,0.001802367,1.26372,1.26382,1.268725,1.25898,-8.81293E-05,-0.00040954,-0.00043201,-7.79399E-05,1.276475
7/5/2006,1.2719,1.2795,1.2841,1.2704,-0.005784413,-0.000156287,0.001325639,-0.006257822,1.26337,1.263665,1.268735,1.2587,-0.000260336,-0.000107421,1.68658E-05,-0.000207338,1.27505
7/6/2006,1.2777,1.2724,1.2784,1.2717,0.004560107,-0.005549043,-0.004438907,0.0010233,1.264005,1.263335,1.268605,1.259155,0.000511105,-0.000244533,-9.21424E-05,0.000368906,1.2803
7/7/2006,1.2807,1.2779,1.2863,1.2763,0.002347969,0.00432254,0.006179599,0.003617205,1.264835,1.26397,1.269495,1.259995,0.000664076,0.000511078,0.000704738,0.000672529,1.27715
7/10/2006,1.2735,1.2814,1.2818,1.2719,-0.005621926,0.002738868,-0.003498406,-0.003447465,1.265595,1.264945,1.27032,1.26076,0.000612392,0.000778436,0.000655951,0.00061528,1.274675
7/11/2006,1.2771,1.2733,1.2779,1.2704,0.002826855,-0.006321211,-0.003042596,-0.001179338,1.266735,1.26569,1.271115,1.261635,0.00091268,0.000601055,0.000634225,0.000703536,1.27315
7/12/2006,1.27,1.2769,1.2782,1.2675,-0.005559471,0.002827299,0.00023476,-0.002282746,1.26722,1.266825,1.271775,1.262345,0.000395529,0.000909298,0.000527104,0.000573436,1.269775
7/13/2006,1.2691,1.2703,1.2733,1.2664,-0.000708661,-0.005168768,-0.003833516,-0.00086785,1.2675,1.26733,1.27214,1.262765,0.000233142,0.000411664,0.000295902,0.000342538,1.266675
7/14/2006,1.265,1.2692,1.2699,1.2626,-0.003230636,-0.000865937,-0.002670227,-0.003000632,1.26754,1.26761,1.272255,1.262805,4.39094E-05,0.000233468,9.91997E-05,4.14734E-05,1.258075
7/17/2006,1.2518,1.2641,1.2654,1.251,-0.010434783,-0.004018279,-0.003543586,-0.009187391,1.26727,1.26757,1.27225,1.2626,-0.000200975,-1.88866E-05,4.85405E-06,-0.000152402,1.251475
7/18/2006,1.2505,1.2519,1.2561,1.2474,-0.001038505,-0.009651135,-0.007349455,-0.002877698,1.26688,1.26729,1.27196,1.26228,-0.000296648,-0.00020893,-0.000220382,-0.000244499,1.2541
7/19/2006,1.2592,1.2504,1.2611,1.2457,0.006957217,-0.001198179,0.003980575,-0.001362835,1.26655,1.26691,1.271615,1.26168,-0.000246808,-0.00028872,-0.000263053,-0.000468168,1.261425
